FL_DATE,AIRLINE,airline_name,ORIGIN,DEST,ARR_DELAY,CANCELLED,DAY_OF_WEEK
2022-07-19,SkyWest Airlines Inc.,SkyWest Airlines,SAN,SFO,-7.0,0.0,Tuesday
2022-09-13,Republic Airline,,CMH,ORD,-11.0,0.0,Tuesday
2022-07-09,SkyWest Airlines Inc.,SkyWest Airlines,CVG,ORD,-23.0,0.0,Saturday
2021-03-19,United Air Lines Inc.,United Airlines,DEN,MCI,-4.0,0.0,Friday
2020-01-03,United Air Lines Inc.,United Airlines,IAH,SFO,-13.0,0.0,Friday
2023-06-18,SkyWest Airlines Inc.,SkyWest Airlines,ATW,DTW,-16.0,0.0,Sunday
2023-05-20,SkyWest Airlines Inc.,SkyWest Airlines,ABQ,LAX,-11.0,0.0,Saturday
2019-09-23,PSA Airlines Inc.,,CRW,CLT,-12.0,0.0,Monday
2022-04-23,Endeavor Air Inc.,,TRI,ATL,-7.0,0.0,Saturday
2019-11-22,Spirit Air Lines,Spirit Airlines,LAS,MSP,-1.0,0.0,Friday
2022-01-28,Delta Air Lines Inc.,Delta Air Lines,SLC,JFK,7.0,0.0,Friday
2021-11-27,American Airlines Inc.,American Airlines,ORD,DTW,7.0,0.0,Saturday
2019-11-26,Envoy Air,,DFW,HRL,-16.0,0.0,Tuesday
2020-10-04,SkyWest Airlines Inc.,SkyWest Airlines,OAK,SLC,-5.0,0.0,Sunday
2021-08-10,Mesa Airlines Inc.,,DFW,AMA,-5.0,0.0,Tuesday
2022-07-26,United Air Lines Inc.,United Airlines,DEN,SAN,-2.0,0.0,Tuesday
2019-08-01,Frontier Airlines Inc.,Frontier Airlines,CVG,MCO,11.0,0.0,Thursday
2019-12-04,Southwest Airlines Co.,Southwest Airlines,FLL,ATL,-17.0,0.0,Wednesday
2023-06-06,Republic Airline,,EWR,IND,1.0,0.0,Tuesday
2023-03-14,Delta Air Lines Inc.,Delta Air Lines,TPA,ATL,0.0,0.0,Tuesday
2022-06-27,Spirit Air Lines,Spirit Airlines,ACY,MCO,-33.0,0.0,Monday
2021-11-04,American Airlines Inc.,American Airlines,TUS,DFW,10.0,0.0,Thursday
2023-04-06,Frontier Airlines Inc.,Frontier Airlines,LAS,PHX,-7.0,0.0,Thursday
2023-08-02,Allegiant Air,,SFB,CVG,-11.0,0.0,Wednesday
2022-04-18,Spirit Air Lines,Spirit Airlines,LAS,ORD,1.0,0.0,Monday
2023-01-06,American Airlines Inc.,American Airlines,DFW,PHL,-21.0,0.0,Friday
2019-05-10,PSA Airlines Inc.,,CLT,AGS,-4.0,0.0,Friday
2020-11-17,Endeavor Air Inc.,,MCI,DTW,-2.0,0.0,Tuesday
2022-11-20,Southwest Airlines Co.,Southwest Airlines,STL,BWI,11.0,0.0,Sunday
2022-07-27,Delta Air Lines Inc.,Delta Air Lines,ATL,MLB,7.0,0.0,Wednesday
2023-01-20,American Airlines Inc.,American Airlines,MIA,DCA,8.0,0.0,Friday
2019-09-19,United Air Lines Inc.,United Airlines,PHX,EWR,3.0,0.0,Thursday
2020-02-18,American Airlines Inc.,American Airlines,ORF,CLT,3.0,0.0,Tuesday
2022-09-17,Delta Air Lines Inc.,Delta Air Lines,MKE,ATL,-14.0,0.0,Saturday
2019-09-08,American Airlines Inc.,American Airlines,DFW,SMF,8.0,0.0,Sunday
2021-08-30,United Air Lines Inc.,United Airlines,ORD,MIA,-15.0,0.0,Monday
2020-10-13,Southwest Airlines Co.,Southwest Airlines,LGB,PHX,-20.0,0.0,Tuesday
2023-08-10,PSA Airlines Inc.,,DCA,BUF,-4.0,0.0,Thursday
2019-08-02,Delta Air Lines Inc.,Delta Air Lines,MCO,BOS,-15.0,0.0,Friday
2023-06-24,Frontier Airlines Inc.,Frontier Airlines,CLE,DEN,6.0,0.0,Saturday
2021-10-09,American Airlines Inc.,American Airlines,PHX,JFK,-27.0,0.0,Saturday
2023-08-28,Allegiant Air,,TUL,LAX,24.0,0.0,Monday
2019-02-15,United Air Lines Inc.,United Airlines,PDX,EWR,-6.0,0.0,Friday
2022-01-21,Southwest Airlines Co.,Southwest Airlines,MSY,PHX,-14.0,0.0,Friday
2022-05-08,American Airlines Inc.,American Airlines,DFW,SAT,-8.0,0.0,Sunday
2021-10-04,Southwest Airlines Co.,Southwest Airlines,MDW,SAN,-13.0,0.0,Monday
2021-06-26,Republic Airline,,DCA,JAX,-3.0,0.0,Saturday
2022-09-19,Southwest Airlines Co.,Southwest Airlines,VPS,BNA,37.0,0.0,Monday
2023-08-15,United Air Lines Inc.,United Airlines,EWR,ROC,1.0,0.0,Tuesday
2019-03-21,American Airlines Inc.,American Airlines,ORD,SFO,-28.0,0.0,Thursday
2021-12-26,Envoy Air,,DTW,ORD,-31.0,0.0,Sunday
2020-11-22,SkyWest Airlines Inc.,SkyWest Airlines,DEN,BUR,-9.0,0.0,Sunday
2021-06-09,Republic Airline,,ORD,SRQ,-11.0,0.0,Wednesday
2020-12-08,Hawaiian Airlines Inc.,Hawaiian Airlines,HNL,SJC,-17.0,0.0,Tuesday
2019-09-29,American Airlines Inc.,American Airlines,EWR,PHX,-2.0,0.0,Sunday
2020-11-11,Delta Air Lines Inc.,Delta Air Lines,EWR,ATL,-6.0,0.0,Wednesday
2019-02-23,Delta Air Lines Inc.,Delta Air Lines,MSP,TUS,29.0,0.0,Saturday
2022-07-30,American Airlines Inc.,American Airlines,CLT,AUS,27.0,0.0,Saturday
2019-01-29,Alaska Airlines Inc.,Alaska Airlines,LAX,SEA,-13.0,0.0,Tuesday
2020-10-14,Delta Air Lines Inc.,Delta Air Lines,MCO,MSP,16.0,0.0,Wednesday
2023-05-03,Endeavor Air Inc.,,LGA,BUF,-23.0,0.0,Wednesday
2020-12-30,Republic Airline,,EWR,DFW,3.0,0.0,Wednesday
2021-07-31,JetBlue Airways,JetBlue Airways,LGA,DEN,-1.0,0.0,Saturday
2023-01-17,Delta Air Lines Inc.,Delta Air Lines,ATL,MSP,-3.0,0.0,Tuesday
2020-02-26,Delta Air Lines Inc.,Delta Air Lines,SLC,JFK,-12.0,0.0,Wednesday
2022-03-26,American Airlines Inc.,American Airlines,DFW,BOS,-14.0,0.0,Saturday
2022-11-06,Southwest Airlines Co.,Southwest Airlines,OAK,DEN,-26.0,0.0,Sunday
2021-10-23,Hawaiian Airlines Inc.,Hawaiian Airlines,HNL,KOA,-10.0,0.0,Saturday
2021-12-29,Southwest Airlines Co.,Southwest Airlines,LAX,SMF,69.0,0.0,Wednesday
2023-04-14,Southwest Airlines Co.,Southwest Airlines,BNA,PHL,-8.0,0.0,Friday
2021-08-22,Delta Air Lines Inc.,Delta Air Lines,BDL,ATL,-1.0,0.0,Sunday
2019-04-23,SkyWest Airlines Inc.,SkyWest Airlines,DEN,EAR,-21.0,0.0,Tuesday
2021-08-09,SkyWest Airlines Inc.,SkyWest Airlines,JAC,LAX,-16.0,0.0,Monday
2021-04-14,Southwest Airlines Co.,Southwest Airlines,LGB,MDW,-25.0,0.0,Wednesday
2020-04-05,American Airlines Inc.,American Airlines,CLT,EWR,-31.0,0.0,Sunday
2019-03-04,Mesa Airlines Inc.,,MAF,DFW,12.0,0.0,Monday
2022-08-30,Southwest Airlines Co.,Southwest Airlines,CMH,STL,-12.0,0.0,Tuesday
2019-12-14,American Airlines Inc.,American Airlines,SAN,ORD,-23.0,0.0,Saturday
2021-06-15,Delta Air Lines Inc.,Delta Air Lines,IAH,LAX,-9.0,0.0,Tuesday
2022-04-21,Endeavor Air Inc.,,DCA,CVG,-4.0,0.0,Thursday
2020-07-18,American Airlines Inc.,American Airlines,LAX,JFK,-18.0,0.0,Saturday
2020-03-21,Delta Air Lines Inc.,Delta Air Lines,SLC,SJC,-27.0,0.0,Saturday
2021-05-18,Southwest Airlines Co.,Southwest Airlines,HOU,PHX,10.0,0.0,Tuesday
2020-05-24,Mesa Airlines Inc.,,IAD,RDU,-25.0,0.0,Sunday
2023-03-06,Southwest Airlines Co.,Southwest Airlines,SAN,SMF,-5.0,0.0,Monday
2022-01-31,Envoy Air,,IND,AUS,-2.0,0.0,Monday
2020-10-08,Southwest Airlines Co.,Southwest Airlines,MDW,MCO,-21.0,0.0,Thursday
2021-05-29,PSA Airlines Inc.,,AVL,CLT,-8.0,0.0,Saturday
2023-02-07,SkyWest Airlines Inc.,SkyWest Airlines,MSN,MSP,-18.0,0.0,Tuesday
2021-10-11,JetBlue Airways,JetBlue Airways,PBI,BOS,-10.0,0.0,Monday
2019-05-26,Envoy Air,,PIA,ORD,-12.0,0.0,Sunday
2022-05-12,SkyWest Airlines Inc.,SkyWest Airlines,ORD,TYS,98.0,0.0,Thursday
2019-10-08,Spirit Air Lines,Spirit Airlines,FLL,DFW,-15.0,0.0,Tuesday
2021-06-01,PSA Airlines Inc.,,CLT,CHS,186.0,0.0,Tuesday
2022-04-17,Southwest Airlines Co.,Southwest Airlines,LAX,OAK,-7.0,0.0,Sunday
2019-01-31,American Airlines Inc.,American Airlines,ORD,PBI,20.0,0.0,Thursday
2019-01-06,United Air Lines Inc.,United Airlines,ORD,SNA,6.0,0.0,Sunday
2020-03-10,Delta Air Lines Inc.,Delta Air Lines,SJC,SLC,-9.0,0.0,Tuesday
2019-04-29,Delta Air Lines Inc.,Delta Air Lines,PHX,ATL,-4.0,0.0,Monday
2020-06-08,PSA Airlines Inc.,,CLT,BHM,-14.0,0.0,Monday
2019-05-25,Alaska Airlines Inc.,Alaska Airlines,AUS,SAN,-3.0,0.0,Saturday
2021-03-28,PSA Airlines Inc.,,XNA,CLT,11.0,0.0,Sunday
2021-04-02,Delta Air Lines Inc.,Delta Air Lines,DEN,LGA,0.0,0.0,Friday
2021-09-13,SkyWest Airlines Inc.,SkyWest Airlines,COU,DFW,-25.0,0.0,Monday
2019-02-21,Endeavor Air Inc.,,LGA,SAV,-32.0,0.0,Thursday
2020-10-03,Southwest Airlines Co.,Southwest Airlines,BWI,PBI,3.0,0.0,Saturday
2020-02-19,American Airlines Inc.,American Airlines,OAK,PHX,-13.0,0.0,Wednesday
2023-02-06,Southwest Airlines Co.,Southwest Airlines,ATL,MEM,-6.0,0.0,Monday
2023-04-16,Republic Airline,,ORF,LGA,-24.0,0.0,Sunday
2023-02-28,Spirit Air Lines,Spirit Airlines,FLL,EWR,-7.0,0.0,Tuesday
2021-07-31,Southwest Airlines Co.,Southwest Airlines,OKC,PHX,-11.0,0.0,Saturday
2021-12-14,Southwest Airlines Co.,Southwest Airlines,MDW,PHX,5.0,0.0,Tuesday
2019-04-04,Spirit Air Lines,Spirit Airlines,ACY,MCO,-14.0,0.0,Thursday
2022-05-11,American Airlines Inc.,American Airlines,FAT,PHX,-7.0,0.0,Wednesday
2019-12-10,Envoy Air,,ORD,BHM,22.0,0.0,Tuesday
2022-02-03,Delta Air Lines Inc.,Delta Air Lines,CVG,ATL,9.0,0.0,Thursday
2021-07-13,Envoy Air,,CMH,ORD,-24.0,0.0,Tuesday
2021-03-13,Southwest Airlines Co.,Southwest Airlines,OAK,SEA,-10.0,0.0,Saturday
2020-03-09,Spirit Air Lines,Spirit Airlines,LAS,PDX,18.0,0.0,Monday
2022-06-25,Frontier Airlines Inc.,Frontier Airlines,PHL,MCO,53.0,0.0,Saturday
2020-01-15,Hawaiian Airlines Inc.,Hawaiian Airlines,HNL,OGG,-10.0,0.0,Wednesday
2023-05-03,Southwest Airlines Co.,Southwest Airlines,DEN,SMF,-10.0,0.0,Wednesday
2020-07-14,SkyWest Airlines Inc.,SkyWest Airlines,EUG,SEA,-4.0,0.0,Tuesday
2021-11-24,Delta Air Lines Inc.,Delta Air Lines,MSP,DFW,-22.0,0.0,Wednesday
2021-11-05,United Air Lines Inc.,United Airlines,DEN,SNA,-1.0,0.0,Friday
2021-03-25,Envoy Air,,DFW,CAE,-7.0,0.0,Thursday
2020-11-07,SkyWest Airlines Inc.,SkyWest Airlines,PSC,SLC,-2.0,0.0,Saturday
2021-06-03,PSA Airlines Inc.,,CLT,AVL,28.0,0.0,Thursday
2020-01-28,Delta Air Lines Inc.,Delta Air Lines,SJC,MSP,-21.0,0.0,Tuesday
2022-01-08,American Airlines Inc.,American Airlines,DFW,PHX,-17.0,0.0,Saturday
2021-10-09,SkyWest Airlines Inc.,SkyWest Airlines,PDX,LAX,-8.0,0.0,Saturday
2020-03-08,United Air Lines Inc.,United Airlines,LAX,EWR,-17.0,0.0,Sunday
2019-10-06,American Airlines Inc.,American Airlines,DFW,MSY,65.0,0.0,Sunday
2023-07-25,Delta Air Lines Inc.,Delta Air Lines,MSP,MCO,-8.0,0.0,Tuesday
2022-07-29,Delta Air Lines Inc.,Delta Air Lines,LAX,AUS,-16.0,0.0,Friday
2021-06-04,United Air Lines Inc.,United Airlines,ORD,DEN,-20.0,0.0,Friday
2019-12-31,Southwest Airlines Co.,Southwest Airlines,SMF,SNA,-8.0,0.0,Tuesday
2021-06-27,PSA Airlines Inc.,,CLT,FNT,-13.0,0.0,Sunday
2019-07-30,SkyWest Airlines Inc.,SkyWest Airlines,MAF,DEN,-3.0,0.0,Tuesday
2019-03-08,Southwest Airlines Co.,Southwest Airlines,OKC,BWI,-16.0,0.0,Friday
2023-05-09,Southwest Airlines Co.,Southwest Airlines,DAL,MCO,6.0,0.0,Tuesday
2021-08-31,Southwest Airlines Co.,Southwest Airlines,SAN,BNA,-22.0,0.0,Tuesday
2019-04-30,JetBlue Airways,JetBlue Airways,JFK,LGB,-9.0,0.0,Tuesday
2020-10-13,Southwest Airlines Co.,Southwest Airlines,STL,DEN,-1.0,0.0,Tuesday
2022-12-13,United Air Lines Inc.,United Airlines,BNA,DEN,-1.0,0.0,Tuesday
2023-02-20,American Airlines Inc.,American Airlines,ORD,SAT,-15.0,0.0,Monday
2022-10-28,Frontier Airlines Inc.,Frontier Airlines,DEN,DFW,14.0,0.0,Friday
2023-06-12,Southwest Airlines Co.,Southwest Airlines,LAX,SFO,-4.0,0.0,Monday
2021-06-23,SkyWest Airlines Inc.,SkyWest Airlines,ORD,ASE,37.0,0.0,Wednesday
2020-02-11,JetBlue Airways,JetBlue Airways,JFK,LAX,-28.0,0.0,Tuesday
2019-04-18,Spirit Air Lines,Spirit Airlines,BOS,RSW,-13.0,0.0,Thursday
2021-11-10,Southwest Airlines Co.,Southwest Airlines,SJC,LAS,-8.0,0.0,Wednesday
2020-03-12,Southwest Airlines Co.,Southwest Airlines,OMA,PHX,58.0,0.0,Thursday
2021-04-20,Southwest Airlines Co.,Southwest Airlines,PHX,SNA,62.0,0.0,Tuesday
2022-12-31,JetBlue Airways,JetBlue Airways,PHX,FLL,26.0,0.0,Saturday
2022-02-26,United Air Lines Inc.,United Airlines,SFO,SNA,-10.0,0.0,Saturday
2019-10-11,United Air Lines Inc.,United Airlines,IAD,LAS,-2.0,0.0,Friday
2020-03-02,SkyWest Airlines Inc.,SkyWest Airlines,HPN,DTW,-17.0,0.0,Monday
2020-12-29,SkyWest Airlines Inc.,SkyWest Airlines,HDN,DEN,-2.0,0.0,Tuesday
2022-11-20,Southwest Airlines Co.,Southwest Airlines,CMH,MCO,4.0,0.0,Sunday
2019-09-27,JetBlue Airways,JetBlue Airways,BOS,RDU,-31.0,0.0,Friday
2023-05-22,Southwest Airlines Co.,Southwest Airlines,SAN,OAK,-21.0,0.0,Monday
2021-02-02,Delta Air Lines Inc.,Delta Air Lines,SLC,DTW,-33.0,0.0,Tuesday
2023-05-06,American Airlines Inc.,American Airlines,ORD,MCO,-28.0,0.0,Saturday
2019-12-10,SkyWest Airlines Inc.,SkyWest Airlines,CAK,ORD,203.0,0.0,Tuesday
2019-08-19,SkyWest Airlines Inc.,SkyWest Airlines,MLU,ATL,1.0,0.0,Monday
2019-12-29,Southwest Airlines Co.,Southwest Airlines,LAX,BWI,-5.0,0.0,Sunday
2020-04-20,Republic Airline,,DCA,PIT,-31.0,0.0,Monday
2019-03-03,Southwest Airlines Co.,Southwest Airlines,TPA,IND,-17.0,0.0,Sunday
2019-12-29,Southwest Airlines Co.,Southwest Airlines,DEN,SMF,-21.0,0.0,Sunday
2023-02-25,United Air Lines Inc.,United Airlines,MTJ,DEN,0.0,0.0,Saturday
2022-06-28,American Airlines Inc.,American Airlines,DFW,BWI,-28.0,0.0,Tuesday
2020-11-07,Delta Air Lines Inc.,Delta Air Lines,ATL,LAX,-5.0,0.0,Saturday
2022-07-07,Delta Air Lines Inc.,Delta Air Lines,MSP,SJC,2.0,0.0,Thursday
2019-11-09,SkyWest Airlines Inc.,SkyWest Airlines,TRI,ATL,5.0,0.0,Saturday
2023-02-03,Republic Airline,,DCA,CLE,-5.0,0.0,Friday
2022-03-10,American Airlines Inc.,American Airlines,ORD,MCI,50.0,0.0,Thursday
2022-03-04,Delta Air Lines Inc.,Delta Air Lines,BOS,ATL,-31.0,0.0,Friday
2023-04-21,SkyWest Airlines Inc.,SkyWest Airlines,SLC,FAT,4.0,0.0,Friday
2022-08-10,SkyWest Airlines Inc.,SkyWest Airlines,SFO,FAT,-5.0,0.0,Wednesday
2019-01-29,SkyWest Airlines Inc.,SkyWest Airlines,MDW,DTW,-28.0,0.0,Tuesday
2019-04-07,Southwest Airlines Co.,Southwest Airlines,LAS,MSP,28.0,0.0,Sunday
2022-04-11,Spirit Air Lines,Spirit Airlines,SJU,MIA,-5.0,0.0,Monday
2023-06-09,American Airlines Inc.,American Airlines,MIA,MCO,-18.0,0.0,Friday
2019-03-05,Delta Air Lines Inc.,Delta Air Lines,CVG,MCO,-9.0,0.0,Tuesday
2022-09-24,SkyWest Airlines Inc.,SkyWest Airlines,SBP,SFO,-3.0,0.0,Saturday
2020-09-08,American Airlines Inc.,American Airlines,RNO,PHX,-14.0,0.0,Tuesday
2022-02-22,Allegiant Air,,ATW,PGD,52.0,0.0,Tuesday
2021-01-03,Endeavor Air Inc.,,ATL,HOU,1.0,0.0,Sunday
2019-07-14,Republic Airline,,PHL,PVD,-14.0,0.0,Sunday
2019-11-15,Spirit Air Lines,Spirit Airlines,BOS,RSW,16.0,0.0,Friday
2019-11-18,Delta Air Lines Inc.,Delta Air Lines,RSW,DTW,-1.0,0.0,Monday
2022-01-10,Endeavor Air Inc.,,CHA,ATL,-20.0,0.0,Monday
2021-07-26,SkyWest Airlines Inc.,SkyWest Airlines,MSP,DEN,1.0,0.0,Monday
2021-04-30,Southwest Airlines Co.,Southwest Airlines,SAN,HOU,5.0,0.0,Friday
2019-07-02,Alaska Airlines Inc.,Alaska Airlines,SAN,SEA,54.0,0.0,Tuesday
2020-08-04,PSA Airlines Inc.,,CLT,MYR,-9.0,0.0,Tuesday
2022-01-14,Southwest Airlines Co.,Southwest Airlines,AUS,TPA,-17.0,0.0,Friday
2023-03-06,SkyWest Airlines Inc.,SkyWest Airlines,MSP,XWA,8.0,0.0,Monday
2022-03-15,Delta Air Lines Inc.,Delta Air Lines,MSP,LGA,-7.0,0.0,Tuesday
2020-02-17,Endeavor Air Inc.,,GSO,DTW,-18.0,0.0,Monday
2021-11-06,Delta Air Lines Inc.,Delta Air Lines,SDF,ATL,-16.0,0.0,Saturday
2023-01-20,American Airlines Inc.,American Airlines,TYS,DFW,-3.0,0.0,Friday
2023-04-10,Southwest Airlines Co.,Southwest Airlines,GEG,SMF,15.0,0.0,Monday
2023-08-18,Endeavor Air Inc.,,JFK,BTV,-21.0,0.0,Friday
2019-05-05,American Airlines Inc.,American Airlines,HNL,LAX,16.0,0.0,Sunday
2019-07-23,SkyWest Airlines Inc.,SkyWest Airlines,DEN,BZN,-6.0,0.0,Tuesday
2022-11-18,Southwest Airlines Co.,Southwest Airlines,MDW,MIA,58.0,0.0,Friday
2019-12-31,Envoy Air,,XNA,DFW,-25.0,0.0,Tuesday
2020-11-06,Delta Air Lines Inc.,Delta Air Lines,DEN,LAX,3.0,0.0,Friday
2020-03-04,American Airlines Inc.,American Airlines,ORD,MCO,-16.0,0.0,Wednesday
2019-08-21,Republic Airline,,EWR,IND,212.0,0.0,Wednesday
2022-07-21,SkyWest Airlines Inc.,SkyWest Airlines,SAN,SJC,-4.0,0.0,Thursday
2022-07-22,SkyWest Airlines Inc.,SkyWest Airlines,DRO,DFW,2.0,0.0,Friday
2019-07-20,Southwest Airlines Co.,Southwest Airlines,MCO,MSY,-15.0,0.0,Saturday
2020-07-21,Delta Air Lines Inc.,Delta Air Lines,ATL,RDU,-8.0,0.0,Tuesday
2020-04-04,American Airlines Inc.,American Airlines,BNA,CLT,-18.0,0.0,Saturday
2020-12-03,American Airlines Inc.,American Airlines,AUS,DFW,35.0,0.0,Thursday
2021-01-28,Horizon Air,,RDM,SAN,10.0,0.0,Thursday
2022-05-28,Southwest Airlines Co.,Southwest Airlines,BWI,DAL,1.0,0.0,Saturday
2022-09-11,Southwest Airlines Co.,Southwest Airlines,PHX,SAT,-8.0,0.0,Sunday
2021-03-22,JetBlue Airways,JetBlue Airways,RSW,JFK,-21.0,0.0,Monday
2021-06-22,Delta Air Lines Inc.,Delta Air Lines,SLC,DFW,-20.0,0.0,Tuesday
2021-11-03,Horizon Air,,EUG,LAX,5.0,0.0,Wednesday
2022-05-13,United Air Lines Inc.,United Airlines,RAP,DEN,3.0,0.0,Friday
2023-04-28,Endeavor Air Inc.,,JFK,DTW,-6.0,0.0,Friday
2019-11-03,Southwest Airlines Co.,Southwest Airlines,FLL,MSY,-11.0,0.0,Sunday
2020-03-15,Mesa Airlines Inc.,,IAH,LGA,-1.0,0.0,Sunday
2020-05-18,Endeavor Air Inc.,,ATL,EWN,-7.0,0.0,Monday
2022-12-07,Southwest Airlines Co.,Southwest Airlines,LGA,DAL,41.0,0.0,Wednesday
2021-04-26,SkyWest Airlines Inc.,SkyWest Airlines,SJC,LAX,-14.0,0.0,Monday
2019-11-20,JetBlue Airways,JetBlue Airways,PHX,JFK,-13.0,0.0,Wednesday
2021-06-16,Alaska Airlines Inc.,Alaska Airlines,OGG,SEA,6.0,0.0,Wednesday
2022-12-27,PSA Airlines Inc.,,SAV,DCA,19.0,0.0,Tuesday
2023-01-09,SkyWest Airlines Inc.,SkyWest Airlines,MSP,OMA,2.0,0.0,Monday
2022-04-28,Southwest Airlines Co.,Southwest Airlines,PHX,SMF,30.0,0.0,Thursday
2019-09-13,SkyWest Airlines Inc.,SkyWest Airlines,DFW,HOU,-15.0,0.0,Friday
2023-07-12,Hawaiian Airlines Inc.,Hawaiian Airlines,LAX,HNL,4.0,0.0,Wednesday
2021-07-25,Southwest Airlines Co.,Southwest Airlines,SMF,BUR,-10.0,0.0,Sunday
2020-05-27,United Air Lines Inc.,United Airlines,ORD,CLE,-2.0,0.0,Wednesday
2021-11-15,Envoy Air,,OKC,AUS,-13.0,0.0,Monday
2023-01-11,American Airlines Inc.,American Airlines,ORD,JFK,-4.0,0.0,Wednesday
2020-04-03,Southwest Airlines Co.,Southwest Airlines,BWI,MSP,-29.0,0.0,Friday
2021-02-04,PSA Airlines Inc.,,PIA,CLT,35.0,0.0,Thursday
2019-12-17,Southwest Airlines Co.,Southwest Airlines,HOU,MCO,81.0,0.0,Tuesday
2020-02-23,Mesa Airlines Inc.,,TLH,DFW,-2.0,0.0,Sunday
2021-09-04,Hawaiian Airlines Inc.,Hawaiian Airlines,LIH,HNL,-13.0,0.0,Saturday
2021-04-26,Envoy Air,,DFW,OMA,-8.0,0.0,Monday
2022-08-28,SkyWest Airlines Inc.,SkyWest Airlines,BZN,SFO,-1.0,0.0,Sunday
2019-06-12,Delta Air Lines Inc.,Delta Air Lines,RSW,ATL,0.0,0.0,Wednesday
2021-08-09,Southwest Airlines Co.,Southwest Airlines,BNA,DAL,43.0,0.0,Monday
2022-05-03,American Airlines Inc.,American Airlines,DFW,EGE,-18.0,0.0,Tuesday
2020-11-05,Alaska Airlines Inc.,Alaska Airlines,SAN,PDX,-21.0,0.0,Thursday
2019-12-29,Delta Air Lines Inc.,Delta Air Lines,SDF,ATL,-12.0,0.0,Sunday
2019-11-24,Endeavor Air Inc.,,MSP,TYS,-19.0,0.0,Sunday
2021-03-27,Mesa Airlines Inc.,,PHX,ELP,-18.0,0.0,Saturday
2019-01-11,American Airlines Inc.,American Airlines,PHX,BOI,-19.0,0.0,Friday
2021-09-27,United Air Lines Inc.,United Airlines,MCO,DEN,-5.0,0.0,Monday
2020-01-23,SkyWest Airlines Inc.,SkyWest Airlines,IAH,SGF,-10.0,0.0,Thursday
2021-03-14,United Air Lines Inc.,United Airlines,EWR,LAX,20.0,0.0,Sunday
2021-04-19,Southwest Airlines Co.,Southwest Airlines,MDW,DCA,-20.0,0.0,Monday
2021-09-18,United Air Lines Inc.,United Airlines,SFO,SAN,-9.0,0.0,Saturday
2021-04-21,United Air Lines Inc.,United Airlines,EWR,SJU,14.0,0.0,Wednesday
2021-01-19,American Airlines Inc.,American Airlines,DFW,DTW,-30.0,0.0,Tuesday
2021-03-27,Alaska Airlines Inc.,Alaska Airlines,OGG,SAN,0.0,0.0,Saturday
2021-05-02,Mesa Airlines Inc.,,IAH,MAF,-22.0,0.0,Sunday
2019-09-24,American Airlines Inc.,American Airlines,SFO,DFW,0.0,0.0,Tuesday
2019-03-28,Southwest Airlines Co.,Southwest Airlines,BWI,BUF,8.0,0.0,Thursday
2019-05-06,Alaska Airlines Inc.,Alaska Airlines,BOS,SAN,-11.0,0.0,Monday
2023-02-07,JetBlue Airways,JetBlue Airways,PBI,EWR,60.0,0.0,Tuesday
2021-03-25,Republic Airline,,IND,IAD,-7.0,0.0,Thursday
2023-05-08,PSA Airlines Inc.,,CLT,HSV,-5.0,0.0,Monday
2023-08-01,Endeavor Air Inc.,,CSG,ATL,-30.0,0.0,Tuesday
2020-07-02,Hawaiian Airlines Inc.,Hawaiian Airlines,KOA,HNL,17.0,0.0,Thursday
2023-03-19,Southwest Airlines Co.,Southwest Airlines,MDW,RIC,26.0,0.0,Sunday
2020-01-12,JetBlue Airways,JetBlue Airways,BWI,BOS,-22.0,0.0,Sunday
2022-05-14,SkyWest Airlines Inc.,SkyWest Airlines,MSP,BNA,52.0,0.0,Saturday
2022-04-15,Frontier Airlines Inc.,Frontier Airlines,BUF,MCO,74.0,0.0,Friday
2021-06-23,PSA Airlines Inc.,,CLT,GSP,2.0,0.0,Wednesday
2022-08-01,Endeavor Air Inc.,,LGA,ALB,-9.0,0.0,Monday
2021-09-19,Delta Air Lines Inc.,Delta Air Lines,ATL,ORD,45.0,0.0,Sunday
2021-12-10,Endeavor Air Inc.,,ABY,ATL,38.0,0.0,Friday
2022-03-26,SkyWest Airlines Inc.,SkyWest Airlines,MKE,DEN,-19.0,0.0,Saturday
2019-07-30,SkyWest Airlines Inc.,SkyWest Airlines,MSP,MLI,-5.0,0.0,Tuesday
2023-07-19,Alaska Airlines Inc.,Alaska Airlines,MSP,SEA,-3.0,0.0,Wednesday
2019-08-22,American Airlines Inc.,American Airlines,CLT,RSW,-12.0,0.0,Thursday
2022-01-11,Alaska Airlines Inc.,Alaska Airlines,FAT,SEA,14.0,0.0,Tuesday
2020-01-09,PSA Airlines Inc.,,BHM,CLT,10.0,0.0,Thursday
2021-04-26,SkyWest Airlines Inc.,SkyWest Airlines,ORD,CVG,-20.0,0.0,Monday
2023-08-31,Southwest Airlines Co.,Southwest Airlines,DSM,DEN,15.0,0.0,Thursday
2021-05-03,Mesa Airlines Inc.,,ECP,IAH,-12.0,0.0,Monday
2019-10-02,Republic Airline,,CMH,DCA,-5.0,0.0,Wednesday
2023-02-25,Delta Air Lines Inc.,Delta Air Lines,JFK,ATL,-3.0,0.0,Saturday
2019-05-18,American Airlines Inc.,American Airlines,DFW,SFO,227.0,0.0,Saturday
2022-06-10,Hawaiian Airlines Inc.,Hawaiian Airlines,OGG,HNL,-10.0,0.0,Friday
