FL_DATE,AIRLINE,airline_name,ORIGIN,DEST,ARR_DELAY,CANCELLED,DAY_OF_WEEK
2019-08-16,American Airlines Inc.,American Airlines,RNO,DFW,-3.0,0.0,Friday
2022-10-27,American Airlines Inc.,American Airlines,DFW,BNA,-20.0,0.0,Thursday
2022-03-13,SkyWest Airlines Inc.,SkyWest Airlines,LAX,ABQ,39.0,0.0,Sunday
2021-08-08,Endeavor Air Inc.,,JFK,CLE,-21.0,0.0,Sunday
2022-06-30,Spirit Air Lines,Spirit Airlines,BNA,LGA,-26.0,0.0,Thursday
2019-02-01,PSA Airlines Inc.,,MLB,CLT,-10.0,0.0,Friday
2022-12-31,Frontier Airlines Inc.,Frontier Airlines,RDU,MCO,11.0,0.0,Saturday
2022-10-13,Delta Air Lines Inc.,Delta Air Lines,ATL,MSY,-9.0,0.0,Thursday
2022-05-09,Delta Air Lines Inc.,Delta Air Lines,MSP,MCO,-24.0,0.0,Monday
2022-09-22,PSA Airlines Inc.,,ABE,CLT,-29.0,0.0,Thursday
2021-09-08,SkyWest Airlines Inc.,SkyWest Airlines,SLC,SGU,-6.0,0.0,Wednesday
2023-02-22,SkyWest Airlines Inc.,SkyWest Airlines,ROW,DFW,-25.0,0.0,Wednesday
2023-08-28,Republic Airline,,PHL,CMH,-12.0,0.0,Monday
2023-01-10,SkyWest Airlines Inc.,SkyWest Airlines,OKC,DEN,-19.0,0.0,Tuesday
2022-11-05,Delta Air Lines Inc.,Delta Air Lines,PDX,DTW,-3.0,0.0,Saturday
2021-08-12,Southwest Airlines Co.,Southwest Airlines,LAS,SLC,-13.0,0.0,Thursday
2019-04-03,Southwest Airlines Co.,Southwest Airlines,FLL,IND,-4.0,0.0,Wednesday
2019-02-15,American Airlines Inc.,American Airlines,CLT,DFW,-8.0,0.0,Friday
2021-07-16,Endeavor Air Inc.,,BNA,JFK,-12.0,0.0,Friday
2020-10-30,Southwest Airlines Co.,Southwest Airlines,CHS,DAL,-1.0,0.0,Friday
2023-07-21,Endeavor Air Inc.,,ATL,MLU,-8.0,0.0,Friday
2019-12-31,Southwest Airlines Co.,Southwest Airlines,SAN,OAK,-9.0,0.0,Tuesday
2021-08-23,Alaska Airlines Inc.,Alaska Airlines,SEA,MCI,-8.0,0.0,Monday
2023-01-04,Delta Air Lines Inc.,Delta Air Lines,ATL,CHS,4.0,0.0,Wednesday
2023-06-09,Hawaiian Airlines Inc.,Hawaiian Airlines,LIH,HNL,7.0,0.0,Friday
2022-01-22,Republic Airline,,GRR,IAD,11.0,0.0,Saturday
2021-01-09,American Airlines Inc.,American Airlines,DFW,MTJ,4.0,0.0,Saturday
2019-11-10,Alaska Airlines Inc.,Alaska Airlines,KOA,PDX,-10.0,0.0,Sunday
2019-09-17,ExpressJet Airlines LLC d/b/a aha!,,IAH,CRP,-8.0,0.0,Tuesday
2019-09-26,American Airlines Inc.,American Airlines,LGA,BOS,-15.0,0.0,Thursday
2023-06-13,Hawaiian Airlines Inc.,Hawaiian Airlines,OGG,HNL,-3.0,0.0,Tuesday
2022-05-02,Spirit Air Lines,Spirit Airlines,SJU,FLL,-12.0,0.0,Monday
2022-03-11,Alaska Airlines Inc.,Alaska Airlines,SAN,SEA,-15.0,0.0,Friday
2022-10-25,Spirit Air Lines,Spirit Airlines,TPA,BWI,-19.0,0.0,Tuesday
2021-11-18,American Airlines Inc.,American Airlines,ORD,LAS,35.0,0.0,Thursday
2023-05-05,United Air Lines Inc.,United Airlines,DEN,ORD,48.0,0.0,Friday
2020-12-22,Delta Air Lines Inc.,Delta Air Lines,LGA,MIA,-18.0,0.0,Tuesday
2019-02-15,SkyWest Airlines Inc.,SkyWest Airlines,BOI,SEA,-19.0,0.0,Friday
2021-09-01,SkyWest Airlines Inc.,SkyWest Airlines,IDA,DEN,4.0,0.0,Wednesday
2022-12-03,Envoy Air,,DTW,ORD,-5.0,0.0,Saturday
2021-07-13,Southwest Airlines Co.,Southwest Airlines,MDW,MHT,-10.0,0.0,Tuesday
2020-10-28,American Airlines Inc.,American Airlines,CLT,BOS,-22.0,0.0,Wednesday
2019-10-23,Republic Airline,,OMA,EWR,-33.0,0.0,Wednesday
2019-08-20,Republic Airline,,PHL,IAH,120.0,0.0,Tuesday
2021-10-02,Southwest Airlines Co.,Southwest Airlines,CLT,DAL,-20.0,0.0,Saturday
2022-08-23,SkyWest Airlines Inc.,SkyWest Airlines,ORD,CLT,-9.0,0.0,Tuesday
2019-02-27,Alaska Airlines Inc.,Alaska Airlines,AUS,SEA,6.0,0.0,Wednesday
2023-05-26,Delta Air Lines Inc.,Delta Air Lines,MSP,BNA,13.0,0.0,Friday
2022-09-12,SkyWest Airlines Inc.,SkyWest Airlines,ORD,ABE,3.0,0.0,Monday
2023-02-17,Delta Air Lines Inc.,Delta Air Lines,EWR,DTW,-10.0,0.0,Friday
2023-06-26,Allegiant Air,,MYR,HTS,-4.0,0.0,Monday
2021-08-24,American Airlines Inc.,American Airlines,ELP,CLT,-6.0,0.0,Tuesday
2022-08-13,Spirit Air Lines,Spirit Airlines,BNA,LAS,-29.0,0.0,Saturday
2019-07-20,United Air Lines Inc.,United Airlines,SEA,ORD,15.0,0.0,Saturday
2019-10-27,ExpressJet Airlines LLC d/b/a aha!,,STL,EWR,21.0,0.0,Sunday
2019-02-09,PSA Airlines Inc.,,DCA,PNS,-3.0,0.0,Saturday
2020-05-17,Envoy Air,,DFW,BPT,-6.0,0.0,Sunday
2021-01-18,United Air Lines Inc.,United Airlines,SFO,IAH,-18.0,0.0,Monday
2020-02-16,American Airlines Inc.,American Airlines,ELP,DFW,25.0,0.0,Sunday
2019-04-11,Southwest Airlines Co.,Southwest Airlines,HOU,LAS,60.0,0.0,Thursday
2020-10-23,Southwest Airlines Co.,Southwest Airlines,DEN,HOU,4.0,0.0,Friday
2019-11-19,Southwest Airlines Co.,Southwest Airlines,HNL,OAK,-7.0,0.0,Tuesday
2019-01-26,SkyWest Airlines Inc.,SkyWest Airlines,MSP,MOT,-23.0,0.0,Saturday
2020-11-27,United Air Lines Inc.,United Airlines,IAD,ORD,-17.0,0.0,Friday
2020-08-15,Envoy Air,,DFW,MHK,-10.0,0.0,Saturday
2022-08-02,Delta Air Lines Inc.,Delta Air Lines,CVG,SEA,4.0,0.0,Tuesday
2023-05-08,JetBlue Airways,JetBlue Airways,BOS,PDX,35.0,0.0,Monday
2019-11-28,United Air Lines Inc.,United Airlines,DEN,HNL,4.0,0.0,Thursday
2022-12-20,Frontier Airlines Inc.,Frontier Airlines,PHL,DFW,-29.0,0.0,Tuesday
2022-03-11,Southwest Airlines Co.,Southwest Airlines,DAL,AMA,5.0,0.0,Friday
2022-03-03,Republic Airline,,EWR,JAX,-10.0,0.0,Thursday
2019-06-20,Delta Air Lines Inc.,Delta Air Lines,ATL,CMH,3.0,0.0,Thursday
2023-07-30,American Airlines Inc.,American Airlines,SEA,CLT,142.0,0.0,Sunday
2023-04-30,American Airlines Inc.,American Airlines,SYR,CLT,4.0,0.0,Sunday
2023-07-31,Southwest Airlines Co.,Southwest Airlines,HOU,DAL,-9.0,0.0,Monday
2022-03-27,Delta Air Lines Inc.,Delta Air Lines,BOS,MSP,-15.0,0.0,Sunday
2021-03-27,SkyWest Airlines Inc.,SkyWest Airlines,IAH,SLC,-21.0,0.0,Saturday
2019-12-13,Southwest Airlines Co.,Southwest Airlines,LAS,LAX,4.0,0.0,Friday
2019-06-30,Allegiant Air,,IND,MYR,220.0,0.0,Sunday
2023-07-08,Spirit Air Lines,Spirit Airlines,FLL,ATL,139.0,0.0,Saturday
2022-03-30,Republic Airline,,DCA,SDF,-31.0,0.0,Wednesday
2023-01-23,United Air Lines Inc.,United Airlines,ATL,EWR,-22.0,0.0,Monday
2021-12-08,Envoy Air,,CLT,SGF,6.0,0.0,Wednesday
2022-08-01,United Air Lines Inc.,United Airlines,CHS,ORD,9.0,0.0,Monday
2019-11-30,Republic Airline,,DCA,BNA,-22.0,0.0,Saturday
2019-07-21,SkyWest Airlines Inc.,SkyWest Airlines,ORD,TVC,72.0,0.0,Sunday
2022-12-16,Delta Air Lines Inc.,Delta Air Lines,BNA,DTW,-3.0,0.0,Friday
2022-03-03,American Airlines Inc.,American Airlines,MCO,DFW,6.0,0.0,Thursday
2020-07-16,SkyWest Airlines Inc.,SkyWest Airlines,AVL,ORD,-2.0,0.0,Thursday
2020-01-13,Southwest Airlines Co.,Southwest Airlines,HOU,BNA,-21.0,0.0,Monday
2021-07-24,Republic Airline,,BOS,JAX,-9.0,0.0,Saturday
2020-01-27,United Air Lines Inc.,United Airlines,EWR,MCO,-20.0,0.0,Monday
2021-01-03,SkyWest Airlines Inc.,SkyWest Airlines,MRY,PHX,2.0,0.0,Sunday
2022-03-29,Endeavor Air Inc.,,LGA,GSP,-18.0,0.0,Tuesday
2019-07-07,Endeavor Air Inc.,,LEX,ATL,262.0,0.0,Sunday
2019-10-31,Delta Air Lines Inc.,Delta Air Lines,LAS,ATL,24.0,0.0,Thursday
2023-05-15,United Air Lines Inc.,United Airlines,DEN,DFW,-5.0,0.0,Monday
2022-08-27,American Airlines Inc.,American Airlines,DFW,SAN,5.0,0.0,Saturday
2022-04-24,Delta Air Lines Inc.,Delta Air Lines,ATL,DFW,-13.0,0.0,Sunday
2022-10-28,Southwest Airlines Co.,Southwest Airlines,MKE,BWI,-14.0,0.0,Friday
2019-09-12,Alaska Airlines Inc.,Alaska Airlines,PDX,MCO,-1.0,0.0,Thursday
2020-06-21,Republic Airline,,PHL,BUF,-15.0,0.0,Sunday
2020-10-24,PSA Airlines Inc.,,CLT,CAK,-11.0,0.0,Saturday
2022-06-08,Spirit Air Lines,Spirit Airlines,PDX,LAS,-13.0,0.0,Wednesday
2019-03-01,Envoy Air,,CLE,JFK,79.0,0.0,Friday
2020-11-06,Envoy Air,,SGF,DFW,-40.0,0.0,Friday
2022-12-21,SkyWest Airlines Inc.,SkyWest Airlines,SLC,ONT,-19.0,0.0,Wednesday
2021-05-09,JetBlue Airways,JetBlue Airways,SFO,JFK,-21.0,0.0,Sunday
2021-05-11,Frontier Airlines Inc.,Frontier Airlines,DEN,LAS,14.0,0.0,Tuesday
2022-01-16,SkyWest Airlines Inc.,SkyWest Airlines,MCW,ORD,82.0,0.0,Sunday
2019-03-25,Southwest Airlines Co.,Southwest Airlines,LAS,SLC,8.0,0.0,Monday
2022-03-30,Alaska Airlines Inc.,Alaska Airlines,SEA,PSP,-25.0,0.0,Wednesday
2021-06-30,Southwest Airlines Co.,Southwest Airlines,PDX,LAS,-1.0,0.0,Wednesday
2019-06-21,American Airlines Inc.,American Airlines,PHX,CMH,4.0,0.0,Friday
2019-06-23,Envoy Air,,LIT,DFW,4.0,0.0,Sunday
2019-06-27,Southwest Airlines Co.,Southwest Airlines,STL,PHX,32.0,0.0,Thursday
2020-09-12,Southwest Airlines Co.,Southwest Airlines,LAS,PHX,-13.0,0.0,Saturday
2020-04-08,Delta Air Lines Inc.,Delta Air Lines,ALB,ATL,6.0,0.0,Wednesday
2021-06-25,Delta Air Lines Inc.,Delta Air Lines,ATL,ECP,10.0,0.0,Friday
2019-10-09,American Airlines Inc.,American Airlines,DFW,PHL,-12.0,0.0,Wednesday
2019-05-20,United Air Lines Inc.,United Airlines,SFO,PDX,4.0,0.0,Monday
2021-08-28,American Airlines Inc.,American Airlines,DFW,SAT,-4.0,0.0,Saturday
2019-05-23,PSA Airlines Inc.,,CLT,IAD,-14.0,0.0,Thursday
2020-02-10,SkyWest Airlines Inc.,SkyWest Airlines,PDX,TUS,-9.0,0.0,Monday
2020-01-09,American Airlines Inc.,American Airlines,CLT,RIC,20.0,0.0,Thursday
2019-01-05,PSA Airlines Inc.,,CLT,OAJ,9.0,0.0,Saturday
2021-02-17,Southwest Airlines Co.,Southwest Airlines,LAS,TUS,-9.0,0.0,Wednesday
2023-03-10,United Air Lines Inc.,United Airlines,EWR,IAH,14.0,0.0,Friday
2021-10-19,Hawaiian Airlines Inc.,Hawaiian Airlines,OGG,SJC,5.0,0.0,Tuesday
2022-03-20,American Airlines Inc.,American Airlines,MIA,BOS,-1.0,0.0,Sunday
2020-12-03,PSA Airlines Inc.,,BNA,CLT,-26.0,0.0,Thursday
2022-05-17,Southwest Airlines Co.,Southwest Airlines,CLE,DEN,-1.0,0.0,Tuesday
2020-03-21,Envoy Air,,ORD,CVG,-7.0,0.0,Saturday
2019-02-09,Mesa Airlines Inc.,,DFW,HSV,-10.0,0.0,Saturday
2019-07-29,Southwest Airlines Co.,Southwest Airlines,STL,MSP,-19.0,0.0,Monday
2020-12-17,Republic Airline,,SDF,ORD,-12.0,0.0,Thursday
2019-08-21,Envoy Air,,DFW,TXK,-16.0,0.0,Wednesday
2022-02-20,Southwest Airlines Co.,Southwest Airlines,BNA,MKE,-13.0,0.0,Sunday
2023-01-09,Southwest Airlines Co.,Southwest Airlines,OAK,LAS,-12.0,0.0,Monday
2023-07-22,SkyWest Airlines Inc.,SkyWest Airlines,SLC,SFO,5.0,0.0,Saturday
2020-01-24,American Airlines Inc.,American Airlines,PHX,ORD,-11.0,0.0,Friday
2022-09-29,American Airlines Inc.,American Airlines,CLT,LAS,-29.0,0.0,Thursday
2023-05-14,Southwest Airlines Co.,Southwest Airlines,STL,LGA,-2.0,0.0,Sunday
2022-01-28,JetBlue Airways,JetBlue Airways,JFK,SLC,19.0,0.0,Friday
2023-04-17,Southwest Airlines Co.,Southwest Airlines,HNL,ITO,-4.0,0.0,Monday
2019-06-28,Endeavor Air Inc.,,ATL,GPT,3.0,0.0,Friday
2019-07-13,Envoy Air,,DFW,BIL,-15.0,0.0,Saturday
2019-02-22,Hawaiian Airlines Inc.,Hawaiian Airlines,HNL,LGB,-2.0,0.0,Friday
2019-03-01,United Air Lines Inc.,United Airlines,BOS,EWR,-5.0,0.0,Friday
2020-08-14,Delta Air Lines Inc.,Delta Air Lines,PDX,MSP,-11.0,0.0,Friday
2022-01-28,Endeavor Air Inc.,,LGA,CVG,30.0,0.0,Friday
2020-09-28,PSA Airlines Inc.,,FAY,CLT,8.0,0.0,Monday
2021-05-08,PSA Airlines Inc.,,CLT,TYS,-16.0,0.0,Saturday
2022-09-10,Delta Air Lines Inc.,Delta Air Lines,JFK,LAS,34.0,0.0,Saturday
2019-11-19,Southwest Airlines Co.,Southwest Airlines,MCI,STL,-14.0,0.0,Tuesday
2023-06-09,American Airlines Inc.,American Airlines,ORD,TUS,-17.0,0.0,Friday
2019-02-11,United Air Lines Inc.,United Airlines,DEN,SFO,-1.0,0.0,Monday
2019-07-05,JetBlue Airways,JetBlue Airways,PBI,BDL,2.0,0.0,Friday
2020-06-25,SkyWest Airlines Inc.,SkyWest Airlines,MSP,LSE,-18.0,0.0,Thursday
2022-11-10,Delta Air Lines Inc.,Delta Air Lines,LAX,DCA,-15.0,0.0,Thursday
2019-06-19,Allegiant Air,,SYR,BNA,7.0,0.0,Wednesday
2020-01-15,Southwest Airlines Co.,Southwest Airlines,SAN,PHX,-19.0,0.0,Wednesday
2020-12-22,Spirit Air Lines,Spirit Airlines,MSY,FLL,-11.0,0.0,Tuesday
2022-04-21,Republic Airline,,PWM,LGA,-4.0,0.0,Thursday
2019-04-04,American Airlines Inc.,American Airlines,LGA,CLT,-14.0,0.0,Thursday
2019-11-25,American Airlines Inc.,American Airlines,EWR,MIA,-39.0,0.0,Monday
2023-04-03,SkyWest Airlines Inc.,SkyWest Airlines,MSP,IAD,-15.0,0.0,Monday
2023-08-03,Delta Air Lines Inc.,Delta Air Lines,LAX,SLC,-14.0,0.0,Thursday
2020-02-10,United Air Lines Inc.,United Airlines,PHX,DEN,11.0,0.0,Monday
2021-06-28,Southwest Airlines Co.,Southwest Airlines,FLL,ATL,-21.0,0.0,Monday
2021-06-08,Spirit Air Lines,Spirit Airlines,SDF,LAS,-28.0,0.0,Tuesday
2021-03-14,Endeavor Air Inc.,,TRI,ATL,-22.0,0.0,Sunday
2021-02-17,Delta Air Lines Inc.,Delta Air Lines,GRR,ATL,-4.0,0.0,Wednesday
2022-08-20,Delta Air Lines Inc.,Delta Air Lines,MSP,PHL,-7.0,0.0,Saturday
2022-11-17,Delta Air Lines Inc.,Delta Air Lines,STL,MSP,-1.0,0.0,Thursday
2020-12-12,United Air Lines Inc.,United Airlines,CLE,DEN,-9.0,0.0,Saturday
2022-06-18,Southwest Airlines Co.,Southwest Airlines,MDW,OKC,-5.0,0.0,Saturday
2022-05-20,JetBlue Airways,JetBlue Airways,ALB,MCO,22.0,0.0,Friday
2021-06-04,Southwest Airlines Co.,Southwest Airlines,CLE,DEN,-19.0,0.0,Friday
2023-07-10,United Air Lines Inc.,United Airlines,GUM,HNL,-29.0,0.0,Monday
2023-04-13,Southwest Airlines Co.,Southwest Airlines,BWI,CHS,0.0,0.0,Thursday
2021-10-10,Republic Airline,,CLT,EWR,4.0,0.0,Sunday
2020-12-18,United Air Lines Inc.,United Airlines,TPA,BOS,-22.0,0.0,Friday
2019-04-23,PSA Airlines Inc.,,PHL,TYS,-21.0,0.0,Tuesday
2020-08-28,Southwest Airlines Co.,Southwest Airlines,PHX,MDW,32.0,0.0,Friday
2022-12-02,Southwest Airlines Co.,Southwest Airlines,DEN,FLL,-16.0,0.0,Friday
2022-06-08,Delta Air Lines Inc.,Delta Air Lines,ATL,LGA,13.0,0.0,Wednesday
2019-10-21,Envoy Air,,MLU,DFW,153.0,0.0,Monday
2021-10-23,SkyWest Airlines Inc.,SkyWest Airlines,ORD,FWA,-10.0,0.0,Saturday
2023-04-16,SkyWest Airlines Inc.,SkyWest Airlines,SAF,DFW,-1.0,0.0,Sunday
2019-06-26,Southwest Airlines Co.,Southwest Airlines,SAT,HOU,-4.0,0.0,Wednesday
2021-04-13,SkyWest Airlines Inc.,SkyWest Airlines,LAX,BOI,6.0,0.0,Tuesday
2023-07-07,Delta Air Lines Inc.,Delta Air Lines,MSP,PHL,-11.0,0.0,Friday
2020-03-13,Endeavor Air Inc.,,RIC,DTW,-5.0,0.0,Friday
2020-02-12,PSA Airlines Inc.,,CLT,PHF,-3.0,0.0,Wednesday
2022-03-27,Alaska Airlines Inc.,Alaska Airlines,SAN,HNL,-9.0,0.0,Sunday
2023-06-24,Southwest Airlines Co.,Southwest Airlines,MSY,MCI,30.0,0.0,Saturday
2020-03-11,Southwest Airlines Co.,Southwest Airlines,ATL,STL,-7.0,0.0,Wednesday
2019-09-10,United Air Lines Inc.,United Airlines,TPA,IAH,-8.0,0.0,Tuesday
2023-03-16,American Airlines Inc.,American Airlines,SAT,CLT,0.0,0.0,Thursday
2019-12-26,Delta Air Lines Inc.,Delta Air Lines,PDX,MSP,1.0,0.0,Thursday
2023-07-18,Republic Airline,,PWM,EWR,318.0,0.0,Tuesday
2023-05-17,Alaska Airlines Inc.,Alaska Airlines,SEA,ANC,45.0,0.0,Wednesday
2022-09-12,American Airlines Inc.,American Airlines,PHL,MIA,10.0,0.0,Monday
2023-04-02,Delta Air Lines Inc.,Delta Air Lines,MLB,ATL,-4.0,0.0,Sunday
2023-03-31,Southwest Airlines Co.,Southwest Airlines,OAK,SBA,3.0,0.0,Friday
2021-09-22,Envoy Air,,ALO,ORD,-3.0,0.0,Wednesday
2021-11-17,Southwest Airlines Co.,Southwest Airlines,MSY,IAH,-8.0,0.0,Wednesday
